"date","close"
"2018-08-08",27.0996
"2018-08-09",27.2178
"2018-08-10",26.9631
"2018-08-13",26.9414
"2018-08-14",27.1095
"2018-08-15",26.8326
"2018-08-16",26.8844
"2018-08-17",26.9238
"2018-08-20",26.8524
"2018-08-21",27
"2018-08-22",27
"2018-08-23",27.1589
"2018-08-24",27.5247
"2018-08-27",27.7323
"2018-08-28",27.7818
"2018-08-29",28.0784
"2018-08-30",28.0685
"2018-08-31",28.0784
"2018-09-04",28.0684
"2018-09-05",27.5148
"2018-09-06",27.4801
"2018-09-07",27.3566
"2018-09-10",27.3863
"2018-09-11",27.5951
"2018-09-12",27.5405
"2018-09-13",27.8015
"2018-09-14",27.7718
"2018-09-17",27.3665
"2018-09-18",27.6042
"2018-09-19",27.3863
"2018-09-20",27.7521
"2018-09-21",27.7521
"2018-09-24",27.6631
"2018-09-25",27.7818
"2018-09-26",28.0059
"2018-09-27",27.9922
"2018-09-28",27.9922
"2018-10-01",28.0516
"2018-10-02",27.9328
"2018-10-03",27.9459
"2018-10-04",27.3979
"2018-10-05",27.18
"2018-10-08",26.7937
"2018-10-09",26.863
"2018-10-10",25.6843
"2018-10-11",25.3376
"2018-10-12",26.0758
"2018-10-15",25.7338
"2018-10-16",26.5361
"2018-10-17",26.4272
"2018-10-18",25.7833
"2018-10-19",25.8725
"2018-10-22",26.0166
"2018-10-23",25.7932
"2018-10-24",24.6541
"2018-10-25",25.4862
"2018-10-26",24.664
"2018-10-29",23.9311
"2018-10-30",24.4957
"2018-10-31",25.3277
"2018-11-01",25.4961
"2018-11-02",25.2064
"2018-11-05",25.09
"2018-11-06",25.1791
"2018-11-07",26.031
"2018-11-08",25.8428
"2018-11-09",25.505
"2018-11-12",24.7235
"2018-11-13",24.8027
"2018-11-14",24.4561
"2018-11-15",24.9513
"2018-11-16",24.7482
"2018-11-19",23.9112
"2018-11-20",23.4754
"2018-11-21",23.7627
"2018-11-23",23.6968
"2018-11-26",24.2381
"2018-11-27",24.1985
"2018-11-28",24.9105
"2018-11-29",25.041
"2018-11-30",25.1296
"2018-12-03",25.6546
"2018-12-04",24.9513
"2018-12-06",24.5947
"2018-12-07",24.0796
"2018-12-10",24.3232
"2018-12-11",24.4156
"2018-12-12",24.6301
"2018-12-13",24.6343
"2018-12-14",24.133
"2018-12-17",23.358
"2018-12-18",23.6476
"2018-12-19",23.2232
"2018-12-20",22.6793
"2018-12-21",21.9839
"2018-12-24",21.5114
"2018-12-26",22.8723
"2018-12-27",22.8642
"2018-12-28",22.9687
"2018-12-31",22.9987
"2019-01-02",23.1571
"2019-01-03",22.2952
"2019-01-04",23.2543
"2019-01-07",23.5366
"2019-01-08",23.7783
"2019-01-09",23.9595
"2019-01-10",24.0408
"2019-01-11",23.9728
"2019-01-14",23.8158
"2019-01-15",24.251
"2019-01-16",24.3013
"2019-01-17",24.4131
"2019-01-18",24.7313
"2019-01-22",24.2098
"2019-01-23",24.3688
"2019-01-24",24.5499
"2019-01-25",24.8961
"2019-01-28",24.5513
"2019-01-29",24.2535
"2019-01-30",24.9496
"2019-01-31",25.3045
"2019-02-01",25.2349
"2019-02-04",25.6023
"2019-02-05",25.8515
"2019-02-06",25.7653
"2019-02-07",25.3963
"2019-02-08",25.4749
"2019-02-11",25.5257
"2019-02-12",25.9111
"2019-02-13",25.9166
"2019-02-14",25.9609
"2019-02-15",26.0379
"2019-02-19",26.1061
"2019-02-20",26.024
"2019-02-21",26.0211
"2019-02-22",26.3726
"2019-02-25",26.4594
"2019-02-26",26.5221
"2019-02-27",26.5623
"2019-02-28",26.4451
"2019-03-01",26.6664
"2019-03-04",26.5657
"2019-03-05",26.6349
"2019-03-06",26.4781
"2019-03-07",26.1853
"2019-03-08",26.1738
"2019-03-11",26.7319
"2019-03-12",26.8669
"2019-03-13",27.0536
"2019-03-14",27.0594
"2019-03-15",27.2228
"2019-03-18",27.3309
"2019-03-19",27.416
"2019-03-20",27.5235
"2019-03-21",28.0651
"2019-03-22",27.3975
"2019-03-25",27.334
"2019-03-26",27.3865
"2019-03-27",27.2362
"2019-03-28",27.3567
"2019-03-29",27.569
"2019-04-01",27.9739
"2019-04-02",28.0957
"2019-04-03",28.2552
"2019-04-04",28.1538
"2019-04-05",28.2554
"2019-04-08",28.3067
"2019-04-09",28.2
"2019-04-10",28.3918
"2019-04-11",28.4058
"2019-04-12",28.5657
"2019-04-15",28.6
"2019-04-16",28.662
"2019-04-17",28.7348
"2019-04-18",28.795
"2019-04-22",28.9634
"2019-04-23",29.3324
"2019-04-24",29.2884
"2019-04-25",29.4245
"2019-04-26",29.431
"2019-04-29",29.5601
"2019-04-30",29.3464
"2019-05-01",29.1779
"2019-05-02",28.9938
"2019-05-03",29.3807
"2019-05-06",29.2237
"2019-05-07",28.6463
"2019-05-08",28.66
"2019-05-09",28.475
"2019-05-10",28.5244
"2019-05-13",27.5402
"2019-05-14",27.9101
"2019-05-15",28.286
"2019-05-16",28.68
"2019-05-17",28.3993
"2019-05-20",27.9702
"2019-05-21",28.2711
"2019-05-22",28.24
"2019-05-23",27.69
"2019-05-24",27.7335
